1,TOR,Andrea Bargnani,,10,550,15806,7873,2541,653,.439,.354,.824,28.7,14.3,4.6,1.2,18.9,.057,-1.6,1.5,285.0
2,CHI,LaMarcus Aldridge,Texas,15,1029,35192,19951,8478,2034,.491,.321,.811,34.2,19.4,8.2,2.0,112.6,.154,1.7,32.6,2668.0
3,CHA,Adam Morrison,Gonzaga,3,161,3278,1200,342,222,.373,.331,.710,20.4,7.5,2.1,1.4,-1.4,-.021,-5.0,-2.4,13.0
4,POR,Tyrus Thomas,LSU,8,402,7932,3093,1938,347,.438,.235,.732,19.7,7.7,4.8,0.9,13.0,.078,-1.2,1.7,385.0
5,ATL,Shelden Williams,Duke,6,361,5586,1618,1562,163,.462,.222,.740,15.5,4.5,4.3,0.5,9.9,.085,-3.0,-1.5,57.0
6,MIN,Brandon Roy,Washington,6,326,11561,6136,1388,1517,.459,.348,.800,35.5,18.8,4.3,4.7,37.4,.155,3.6,16.3,459.0
7,BOS,Randy Foye,Villanova,11,752,19279,7729,1686,2112,.401,.366,.852,25.6,10.3,2.2,2.8,23.5,.058,-1.2,3.8,481.0
8,HOU,Rudy Gay,UConn,15,1009,32707,16903,5878,2167,.454,.350,.799,32.4,16.8,5.8,2.1,58.6,.086,0.7,22.5,618.0
9,GSW,Patrick O'Bryant,Bradley,4,90,524,186,127,25,.494,.000,.583,5.8,2.1,1.4,0.3,0.5,.046,-4.6,-0.3,0.0
10,SEA,Mouhamed Sene,,3,47,260,103,75,1,.427,,.589,5.5,2.2,1.6,0.0,0.3,.052,-5.1,-0.2,-1.0
11,ORL,J.J. Redick,Duke,15,940,23964,12028,1903,1862,.447,.415,.892,25.5,12.8,2.0,2.0,63.7,.128,0.6,16.0,2910.0
12,NOK,Hilton Armstrong,UConn,6,292,3378,880,766,102,.501,.286,.582,11.6,3.0,2.6,0.3,3.9,.055,-4.1,-1.8,177.0
13,PHI,Thabo Sefolosha,,14,869,19062,4994,3252,1196,.449,.349,.732,21.9,5.7,3.7,1.4,39.3,.099,0.6,12.4,1806.0
14,UTA,Ronnie Brewer,Arkansas,8,502,11539,3940,1427,828,.490,.254,.675,23.0,7.8,2.8,1.6,30.4,.127,1.6,10.6,855.0
15,NOK,Cedric Simmons,NC State,3,75,705,163,141,14,.409,,.390,9.4,2.2,1.9,0.2,0.1,.005,-5.0,-0.5,0.0
16,CHI,Rodney Carney,Memphis,5,299,4600,1778,588,132,.422,.338,.704,15.4,5.9,2.0,0.4,6.2,.064,-1.6,0.5,84.0
17,IND,Shawne Williams,Memphis,7,314,5368,1769,945,220,.403,.339,.755,17.1,5.6,3.0,0.7,6.7,.060,-2.2,-0.3,101.0
18,WAS,Oleksiy Pecherov,,3,111,1044,438,266,20,.386,.290,.793,9.4,3.9,2.4,0.2,0.5,.025,-4.8,-0.7,8.0
19,SAC,Quincy Douby,Rutgers University,3,143,1535,588,152,93,.389,.312,.884,10.7,4.1,1.1,0.7,0.0,.000,-3.5,-0.6,0.0
20,NYK,Renaldo Balkman,South Carolina,6,221,3064,894,769,132,.510,.172,.542,13.9,4.0,3.5,0.6,7.2,.113,0.1,1.6,20.0
21,PHO,Rajon Rondo,Kentucky,15,918,27873,9151,4241,7414,.458,.323,.609,30.4,10.0,4.6,8.1,61.1,.105,1.3,23.2,4339.0
22,NJN,Marcus Williams,UConn,4,203,3095,1128,361,574,.386,.321,.767,15.2,5.6,1.8,2.8,0.0,-.001,-3.3,-1.0,78.0
23,NJN,Josh Boone,UConn,4,256,4482,1340,1258,125,.544,,.445,17.5,5.2,4.9,0.5,9.1,.097,-2.0,0.0,-1.0
24,MEM,Kyle Lowry,Villanova,15,960,30480,14272,4193,5995,.424,.368,.812,31.8,14.9,4.4,6.2,98.3,.155,3.1,39.6,3397.0
25,CLE,Shannon Brown,Michigan State,9,408,7329,3118,760,458,.420,.332,.807,18.0,7.6,1.9,1.1,9.2,.060,-1.5,1.0,766.0
